SQL_SignatoryStateId,API_SignatoryStateId,SQL_Id,API_Id,SQL_AddressName,API_AddressName,SQL_AddressLine1,API_AddressLine1,SQL_AddressLine2,API_AddressLine2,SQL_AddressLine3,API_AddressLine3,SQL_StateOrCounty,API_StateOrCounty,SQL_City,API_City,SQL_Country,API_Country,SQL_PostCode,API_PostCode,SQL_PrimaryAddress,API_PrimaryAddress,SQL_isThePrimaryAddress,API_isThePrimaryAddress,Test Case Status
695,695,715,758,Zhejiang Bureau of Fishing Port Superintendence P.R.C.,Ningbo,No.102 Tian Mu Shan Road ,Ningbo Maritime Safety Administration of People's Republic of China,Xihu District ,No.351 Renmin Road,,Jiangbei District,,,Hangzhou City  Zhejiang Province P.R.C,Ningbo,CHINA  PEOPLES REPUBLIC OF,CHINA  PEOPLES REPUBLIC OF,,,false,false,False,false,Test Case failed
693,693,713,713,Viet nam Maritime Administration,Viet nam Maritime Administration,No. 8 Pham Hung - Mai Dich,No. 8 Pham Hung - Mai Dich,null,null,null,null,null,null,Cau Giay - Ha Noi,Cau Giay - Ha Noi,Vietnam,Vietnam,null,null,true,true,True,true,Test Case Passed
692,692,712,712,Isle of Man Ship Registry,Isle of Man Ship Registry,St Georges Court,St Georges Court,Upper Church Street,Upper Church Street,null,null,Isle of Man,Isle of Man,Douglas,Douglas,United Kingdom,United Kingdom,IM1 1EX,IM1 1EX,true,true,True,true,Test Case Passed
691,691,711,711,Gibraltar Maritime Administration (GMA),Gibraltar Maritime Administration (GMA),Watergate House 2/8 Casemates Square,Watergate House 2/8 Casemates Square,P.O. Box 71,P.O. Box 71,null,null,null,null,null,null,United Kingdom,United Kingdom,null,null,true,true,True,true,Test Case Passed
690,690,710,710,Maritime Authority of the Cayman Islands - Cayman Islands Shipping Registry (CISR),Maritime Authority of the Cayman Islands - Cayman Islands Shipping Registry (CISR),3rd Floor  Kirk House,3rd Floor  Kirk House,22 Albert Panton Street,22 Albert Panton Street,null,null,Cayman Islands,Cayman Islands,George Town  Grand Cayman,George Town  Grand Cayman,United Kingdom,United Kingdom,Box 2256,Box 2256,true,true,True,true,Test Case Passed
689,689,709,735,null,Bermuda Government,null,Bermuda Shipping and Maritime Authority,null,3rd Floor  Global House ,null,43 Church Street,null,,null,Hamilton ,United Kingdom,BERMUDA,null,HM 12,true,false,True,false,Test Case failed
689,689,735,735,Bermuda Government,Bermuda Government,Bermuda Shipping and Maritime Authority,Bermuda Shipping and Maritime Authority,3rd Floor  Global House ,3rd Floor  Global House ,43 Church Street,43 Church Street,,,Hamilton ,Hamilton ,BERMUDA,BERMUDA,HM 12,HM 12,false,false,False,false,Test Case Passed
688,688,708,708,Civil Liability Certificates (CLC) Team,Civil Liability Certificates (CLC) Team,Maritime & Coastguard Agency,Maritime & Coastguard Agency,Registry of Shipping and Seamen,Registry of Shipping and Seamen,Anchor Court  Keen Road,Anchor Court  Keen Road,,,Cardiff,Cardiff,UNITED KINGDOM,UNITED KINGDOM,CF24 5JW,CF24 5JW,true,true,True,true,Test Case Passed
687,687,707,707,Tuvalu Ship Registry,Tuvalu Ship Registry,null,null,null,null,null,null,Vaiaku  Funafuti,Vaiaku  Funafuti,null,null,Tuvalu,Tuvalu,null,null,true,true,True,true,Test Case Passed
686,686,705,706,Directorate of Maritime Affairs - International Ship Registry,Togo Maritime Administration,IRB-Greece 110-112 Notara St,null,null,null,Piraeos,null,null,null,null,null,Greece,null,185-35,null,true,false,True,false,Test Case failed
686,686,706,706,Togo Maritime Administration,Togo Maritime Administration,null,null,null,null,null,null,null,null,null,null,null,null,null,null,false,false,False,false,Test Case Passed
685,685,704,704,Swiss Maritime Navigation Office (SMNO),Swiss Maritime Navigation Office (SMNO),Elisabethenstrasse 33,Elisabethenstrasse 33,P.O. Box,P.O. Box,null,null,null,null,Basel,Basel,Switzerland,Switzerland,CH-4010,CH-4010,true,true,True,true,Test Case Passed
684,684,703,703,Swedish Transport Agency,Swedish Transport Agency, SE-601 73 Norrkoping, SE-601 73 Norrkoping,null,null,null,null,null,null,null,null,Sweden,Sweden,null,null,true,true,True,true,Test Case Passed
683,683,702,702,Ministry of Development  Director General of the Merchant Marine,Ministry of Development  Director General of the Merchant Marine,C/ Ruiz de Alarcón  1,C/ Ruiz de Alarcón  1,null,null,null,null,null,null,Madrid,Madrid,Spain,Spain,28071,28071,true,true,True,true,Test Case Passed
682,682,701,701,South African Maritime Safety Authority (SAMSA),South African Maritime Safety Authority (SAMSA),146 Lunnon Road Cnr Jan Shoba & Lunnon Road,146 Lunnon Road Cnr Jan Shoba & Lunnon Road,null,null,null,null,Pretoria,Pretoria,Hillcrest,Hillcrest,South Africa,South Africa,183,183,true,true,True,true,Test Case Passed
681,681,700,700,Maritime and Port Authority of Singapore (MPA),Maritime and Port Authority of Singapore (MPA), MPA Shipping Division  460 Alexandra Road, MPA Shipping Division  460 Alexandra Road,#21-00  PSA Building,#21-00  PSA Building,null,null,Singapore,Singapore,null,null,Singapore,Singapore,119963,119963,true,true,True,true,Test Case Passed
680,680,699,699,null,null,null,null,null,null,null,null,null,null,null,null,Seychelles,Seychelles,null,null,true,true,True,true,Test Case Passed
679,679,698,698, Ministry of Construction  Transport and Infrastructure - Sector for Water Transport and Safety of Navigation, Ministry of Construction  Transport and Infrastructure - Sector for Water Transport and Safety of Navigation,Nemanjina 22-26,Nemanjina 22-26,null,null,null,null,Serbia,Serbia,Belgrade,Belgrade,Serbia,Serbia,11000,11000,true,true,True,true,Test Case Passed
678,678,697,697,null,null,null,null,null,null,null,null,null,null,null,null,Samoa,Samoa,null,null,true,true,True,true,Test Case Passed
677,677,696,696,St. Kitts & Nevis International Ship Registry,St. Kitts & Nevis International Ship Registry,Stolt-Nielsen House  1-5 Oldchurch Road,Stolt-Nielsen House  1-5 Oldchurch Road,Romford  Essex,Romford  Essex,null,null,null,null,null,null,Saint Kitts and Nevis,Saint Kitts and Nevis,RM7 0BQ,RM7 0BQ,true,true,True,true,Test Case Passed
